10;1
20;1
30;1,06667
40;1,05
50;1,18
60;1,18333
70;1,17143
80;1,2
90;1,18889
100;1,29
110;1,30909
120;1,30833
130;1,35385
140;1,45
150;1,49333
160;1,4875
170;1,58235
180;1,52222
190;1,69474
200;1,49
210;1,72857
220;1,76818
230;1,61304
240;1,8125
250;1,84
260;1,75
270;2,07037
280;1,79643
290;2,1069
300;2,05667
310;2,19355
320;2,12188
330;2,64545
340;2,15882
350;2,52286
360;2,32778
370;2,37838
380;2,99474
390;3,04872
400;2,525
410;2,82683
420;2,86429
430;3,1
440;3,28864
450;3,51556
460;3,38043
470;4,09574
480;4,19167
490;3,90816
500;3,78
510;4,57451
520;4,58077
530;4,4434
540;4,73519
550;5,26727
560;5,27143
570;4,53158
580;5,19655
590;6,4
600;6,23833
610;5,93934
620;5,84677
630;6,63968
640;7,15781
650;6,68462
660;7,72424
670;6,84776
680;7,52206
690;7,04058
700;8,06571
710;8,4507
720;8,825
730;8,98219
740;8,59189
750;9,15067
760;10,0947
770;10,1857
780;9,46795
790;9,46709
800;11,0712
810;11,1778
820;10,5829
830;11,4855
840;11,3345
850;11,6988
860;13,4058
870;12,1678
880;12,1659
890;11,5921
900;13,3289
910;13,4308
920;12,9913
930;12,1387
940;13,016
950;12,9295
960;12,925
970;12,5351
980;13,4255
