10;1
20;1,1
30;1,06667
40;1,075
50;1,24
60;1,11667
70;1,12857
80;1,1625
90;1,26667
100;1,28
110;1,32727
120;1,475
130;1,33846
140;1,38571
150;1,40667
160;1,4125
170;1,47059
180;1,51667
190;1,58421
200;1,64
210;1,55714
220;1,65455
230;1,60435
240;1,75417
250;1,832
260;1,81923
270;1,8
280;1,85357
290;1,81724
300;1,95
310;2,04839
320;2,00937
330;2,14848
340;2,08529
350;2,14286
360;2,12778
370;2,25676
380;2,32368
390;2,23077
400;2,435
410;2,36341
420;2,73095
430;2,51628
440;2,69773
450;2,53333
460;2,55217
470;2,67447
480;2,6625
490;2,80612
500;2,84
510;2,93529
520;2,89808
530;2,99057
540;2,97407
550;3,22545
560;3,30893
570;3,3614
580;3,40517
590;3,54237
600;3,25833
610;3,40492
620;3,56613
630;3,61111
640;3,54219
650;3,79385
660;3,75455
670;3,89701
680;3,71471
690;4,16812
700;4,07286
710;4,02535
720;3,98611
730;4,23288
740;4,20811
750;4,49867
760;4,675
770;4,44935
780;4,67564
790;4,77089
800;4,6825
810;4,72469
820;5,13659
830;5,16386
840;5,01429
850;5,29412
860;5,72558
870;5,65747
880;5,60227
890;5,78202
900;5,97889
910;6,32857
920;6,44457
930;6,98817
940;7,12447
950;7,11053
960;7,48229
970;7,85052
980;8,12653
